id,fct_code,name_en,name_bn,name_banglish,category,calories_100g,protein_g_100g,fat_g_100g,carbs_g_100g,fiber_g_100g,portion_local,portion_grams,glycemic_class,condition_flags,verified,review_portion_ok,review_glycemic_ok,review_flags_ok,review_comment
khichuri,01_0035,Plain khichuri,খিচুড়ি,kheechuree|khhichuree|khichhuree|khichooree|kheechudi|kheechuri|khhichudi|khhichuri|khichhudi|khichhuri|khichoodi|khichoori|khichuree|khychuree|keechuri|kheechdi|khhichdi|khichhdi|khichudi|khichuri|khicuree|khychudi|khychuri|kichhuri|kichoori|kichuree|khichdi|khicudi|khicuri|khychdi|kichudi|kichuri|kychuri|khicdi|kichdi|kicuri,cereal,163,5.1,7.4,17.7,2.5,1 plate,250,medium,,yes,,,,
pulao,01_0036,Plain pulao,পোলাও,peelaf|pilaaf|polaao|polaau|polaoo|poolao|poolaw|pulaao|pulaaw|pilaf|polao|polau|pulao|pulaw|pylaf,cereal,128,2.2,2.3,24.1,1.1,1 plate,250,high,diabetes_caution,yes,,,,
semai_boiled,01_0043,"Vermicelli, boiled (without salt)",সেমাই,bhermicelli|vermeecelli|vermichelli|vermicelli|vermycelli|shemaai|shemaee|shhemai|semaai|semaee|shemai|shemay|semai|semay,cereal,151,3.9,0.3,32.6,1.4,1 bowl,150,high,diabetes_caution,yes,,,,
semai_raw,01_0029,"Vermicelli, wheat, raw",কাঁচা সেমাই,kaacha semai|kacha semaee|kacha shemai|kachha semai|khacha semai|kacha semai|kacha semay|dry semaai|dry semaee|dry shemai|kaca semai|dri semai|dry semai|dry semay,cereal,347,8.9,0.6,74.9,3.2,1 cup,100,high,,yes,,,,
suji,01_0026,"Semolina, wheat, raw",সুজি,semoleena|semolinaa|shemolina|semolina|semolyna|shooji|soojee|shuji|sooji|soojy|soozi|sujee|suji|sujy|suzi,cereal,346,10.9,1.4,70.6,3.9,1 cup,100,medium,,yes,,,,
atta,01_0030,"Wheat flour, brown, whole grain",আটা,wheaat flour|wheat flooor|wheat flour|aatta|aata|atta|ata,cereal,334,11.3,2.1,62.2,10.7,1 cup,120,medium,,yes,,,,
maida,01_0032,"Wheat flour, white, refined",ময়দা,wheete flour|white flooor|white flour|whyte flour|maaida|maeeda|moydaa|maida|mayda|moida|moyda,cereal,346,9.8,1.0,73.1,2.7,1 cup,120,high,diabetes_caution,yes,,,,
pawruti,01_0003,"Bread, white, for toasting",পাউরুটি,wheete bread|white breaad|white bread|whyte bread|paauruti|paawruti|paooruti|paurutee|pawrooti|pawrutee|pauruti|pauruty|pawruti|pawruty,cereal,272,8.0,1.4,55.6,2.5,1 slice,30,high,diabetes_caution,yes,,,,
bonruti,01_0002,"Bread, bun/roll",বনরুটি,bonrooti|bonrutee|bonruti|bonruty|boon|roll|bun,cereal,270,8.8,2.8,50.9,2.8,1 piece,50,high,,yes,,,,
misti_biscuit,01_0034,"Biscuit, sweet",মিষ্টি বিস্কুট,meesti biscuit|mishti biscuit|misti bischuit|misti biscooit|shweet biscuit|sweet beescuit|sweet bischuit|sweet biscooit|misti biscuit|mysti biscuit|sweet biscuit|sweet byscuit|swit biscuit|beescuit|bischuit|biscooit|bishcuit|biscuit|byscuit,cereal,344,5.8,10.0,56.7,2.4,3 pieces,30,high,diabetes_caution,yes,,,,
bhutta_kancha,01_0028,"Sweet corn, yellow, on the cob, raw",কাঁচা ভুট্টা,shweet corn|sweet chorn|sweet corn|swit corn|bhootta|bhuttaa|bhutta|vootta|vuttaa|chorn|vutta|corn,cereal,147,3.5,1.4,28.7,2.8,1 cob,100,medium,,yes,,,,
popcorn,01_0009,"Popcorn, maize (salt added)",পপকর্ন,pop chorn|pop corn|popchorn|popcorn,cereal,328,10.0,3.1,58.6,12.9,1 bowl,25,medium,,yes,,,,
gom,01_0033,"Wheat, whole, raw",গম,wheaat|wheat|ghom|gom,cereal,344,11.2,2.9,62.0,12.2,1 cup,120,low,,yes,,,,
jaab,01_0001,"Barley, whole-grain, raw",যব,baarley|barlei|barley|jaaab|jaab|zaab|jab|job|zob,cereal,324,10.9,2.2,56.4,17.3,1 cup,100,low,,yes,,,,
chaler_kura,01_0019,"Rice bran, raw",চালের কুঁড়া,chaaler kura|chaler khura|chaler koora|chhaler kura|chaler kura|caler kura|reece bran|rice braan|riche bran|rice bran|ryce bran,cereal,398,13.4,20.9,28.6,21.0,2 tbsp,20,low,,yes,,,,
mosur_dal_boiled,02_0015,"Lentil, boiled (without salt)",মসুর ডাল,moshoor dal|mosoor daal|maasur dal|mashur dal|masoor dal|moosur dal|moshur dal|mosoor dal|mosur daal|mushur dal|musur daal|masur dal|mosur dal|musur dal|lenteel|lentil|lentyl|daaal|daahl|daal|dahl|dal,pulse,155,13.6,0.4,21.2,6.5,1 bowl,150,low,,yes,,,,
mosur_dal_raw,02_0008,"Lentil, dried, raw",কাঁচা মসুর ডাল,kaacha mosur dal|kacha moshur dal|kacha mosoor dal|kachha mosur dal|khacha mosur dal|kacha mosur dal|kaca mosur dal|dry lenteel|dri lentil|dry lentil|dry lentyl,pulse,317,27.7,0.8,43.2,13.2,1 cup,100,low,,yes,,,,
mung_dal_boiled,02_0013,"Green gram, split, boiled (without salt)",মুগ ডাল,moong daal|moongh dal|moog daal|moogh dal|moong dal|mung daal|mungh dal|moog dal|moongdal|mug daal|mugh dal|mung dal|mungdaal|munghdal|mug dal|mungdal,pulse,161,10.9,0.5,28.1,0.3,1 bowl,150,low,,yes,,,,
mung_dal_raw,02_0005,"Green gram, split, dried, raw",কাঁচা মুগ ডাল,kaacha mung dal|kacha moong dal|kacha mungh dal|kachha mung dal|khacha mung dal|kacha mung dal|kaca mung dal|dry moongh|dri moong|dry moong|dry mung,pulse,351,23.7,1.2,60.9,0.7,1 cup,100,low,,yes,,,,
khesari_boiled,02_0014,"Grass pea, split, boiled (without salt)",খেসারি ডাল,kheshaari dal|khesharee dal|kheshhari dal|khheshari dal|khesaari dal|khesaree dal|kheshari dal|kheshary dal|khhesari dal|keshari dal|khesari dal|khesary dal|kesari dal,pulse,142,11.4,0.4,22.8,0.9,1 bowl,150,low,,yes,,,,
chola_boiled,02_0012,"Bengal gram, whole, boiled (without salt)",ছোলা,cheeckpea|chhickpea|chholabut|chickhpea|chickpeaa|cholaabut|cholaboot|chickpea|cholabut|chyckpea|chhhola|chholaa|chholla|chollaa|cickpea|colabut|chaana|chhana|chhola|cholaa|cholla|chana|chola|colla|cana|cola,pulse,182,10.6,3.1,23.3,9.1,1 bowl,100,low,,yes,,,,
cholar_dal,02_0001,"Bengal gram, dehulled, split, dried, raw",ছোলার ডাল,chholar dal|cholaar dal|chaana dal|chhana dal|cholar dal|chana dal|colar dal|cana dal,pulse,375,20.2,6.0,59.2,1.2,1 cup,100,low,,yes,,,,
maskalai_dal,02_0004,"Black gram, split, dried, raw",মাসকলাই ডাল,blaack gram|blachk gram|black ghram|blackh gram|black gram|kaalai dal|kalaee dal|khalai dal|maashkalai|mashhkalai|mashkalaee|mashkhalai|kalai dal|kalay dal|maaskalai|mashkalai|mashkalay|maskalaee|maskhalai|maskalai|maskalay,pulse,350,22.6,1.2,61.8,0.9,1 cup,100,low,,yes,,,,
motor_boiled,02_0016,"Pea, boiled (without salt)",মটর,motor daal|motor dal|dry peaa|dri pea|dry pea|motor,pulse,170,11.5,1.1,25.2,6.8,1 bowl,150,low,,yes,,,,
arhar_dal,02_0010,"Red gram, split, dried, raw",অড়হর ডাল,aarhar dal|arhar dal|toor daal|toor dal|aarahar|tur dal|arahar,pulse,347,22.3,1.5,60.4,1.5,1 cup,100,low,,yes,,,,
soyabean,02_0011,"Soybean, dried, raw",সয়াবিন,gaari kalai|garee kalai|gari khalai|ghari kalai|gari kalai|gary kalai|shoyabean|soyaabean|shoybean|soiabean|soyabean|soybeaan|soibean|soybean,pulse,424,32.9,19.9,23.6,9.3,1 cup,100,low,,yes,,,,
begun_boiled,03_0033,"Brinjal, purple, long, boiled (without salt)",বেগুন,eggplaant|eghgplant|breenjal|brinjaal|eggplant|baaigun|baeegun|baighun|baigoon|beghoon|beghuun|begooun|brinjal|brinzal|brynjal|baigun|baygun|beghun|begoon|beguun|begun,vegetable,26,2.1,0.1,2.1,4.4,1 bowl,100,low,,yes,,,,
korola_boiled,03_0047,"Bitter gourd, boiled (without salt)",করলা,beetter gourd|bitter ghourd|bitter gooord|bitter gourd|bytter gourd|chorolla|corollaa|khorolla|korollaa|corolla|kaarela|kharela|khorela|khorola|korelaa|korolaa|korolla|karela|korela|korola,vegetable,35,2.3,0.4,4.1,3.0,1 bowl,100,low,,yes,,,,
korola_fried,03_0048,"Bitter gourd, fried",করলা ভাজি,khorola bhaji|korola bhajee|korolaa bhaji|khorola vaji|korola bhaji|korola bhajy|korola bhazi|korola vajee|korolaa vaji|khorola fry|korola vaji|korola vajy|korola vazi|korolaa fry|korola fri|korola fry,vegetable,130,3.1,9.1,7.1,4.1,1 bowl,100,low,,yes,,,,
dheros_boiled,03_0040,"Okra, boiled (without salt)",ঢেঁড়স,laadies finger|ladeees finger|ladies fingher|ladiesh finger|ladies finger|ladyes finger|dheroshh|dherosh|dheros|okhra|okraa|okra,vegetable,32,1.7,0.1,4.7,2.5,1 bowl,100,low,,yes,,,,
dheros_tomato_bhuna,03_0046,Lady's finger-tomato bhuna,ঢেঁড়স টমেটো ভুনা,dheros tomaato bhuna|dheros tomato bhoona|dherosh tomato bhuna|dheros tomato bhuna|dheros tomato vuna|okhra bhuna|okra bhoona|okraa bhuna|okra bhuna|okra vuna,vegetable,127,3.4,7.4,9.0,5.0,1 bowl,100,low,,yes,,,,
lau,03_0017,"Bottle gourd, raw",লাউ,bottle ghourd|bottle gooord|bottle gourd|laauki|laooki|laukee|laukhi|lauki|lauky|laau|laoo|lau,vegetable,34,1.1,0.1,6.8,0.6,1 bowl,100,low,,yes,,,,
potol_boiled,03_0038,"Pointed gourd, boiled (without salt)",পটল,poeented gourd|pointed ghourd|pointed gooord|pointed gourd|poynted gourd|potaal|potal|potol,vegetable,28,2.3,0.4,2.5,2.5,1 bowl,100,low,,yes,,,,
kakrol_boiled,03_0039,"Teasle gourd, boiled (without salt)",কাঁকরোল,teaasle gourd|teashle gourd|teasle ghourd|teasle gooord|teasle gourd|kaakrol|kaakrul|kakrool|khakrol|khakrul|kakrol|kakrul,vegetable,69,2.2,0.5,13.4,1.3,1 bowl,100,medium,,yes,,,,
jhinga,03_0019,"Ridge gourd, raw",ঝিঙা,reedge gourd|ridge gooord|ridghe gourd|ridge gourd|rydge gourd|jheenga|jheenge|jhingaa|jhingha|jhinghe|jhinga|jhinge|jhynga|jhynge|zhinga|zhinge,vegetable,29,1.3,0.4,4.6,1.1,1 bowl,100,low,,yes,,,,
chichinga,03_0020,"Snake gourd, raw",চিচিঙ্গা,shnake gourd|snaake gourd|snake ghourd|snake gooord|snakhe gourd|snake gourd|cheechinga|cheechinge|chhichinga|chhichinge|chichingaa|chichingha|chichinghe|chichinga|chichinge|chychinga|chychinge|cichinga|cichinge,vegetable,24,0.5,0.3,4.5,0.8,1 bowl,100,low,,yes,,,,
dhundul,03_0021,"Sponge gourd, raw",ধুন্দুল,shponge gourd|sponge gooord|sponghe gourd|sponge gourd|dhoondul|dhundul,vegetable,24,0.9,0.2,4.3,1.1,1 bowl,100,low,,yes,,,,
chalkumra,03_0015,"Ash gourd, raw",চালকুমড়া,chaal kumra|chal khumra|chal koomra|chhal kumra|aash gourd|ash ghourd|ash gooord|ashh gourd|chaalkumra|chal kumra|chalkhumra|chalkoomra|chhalkumra|ash gourd|cal kumra|chalkumra|as gourd|calkumra,vegetable,10,0.4,0.1,1.0,1.7,1 bowl,100,low,,yes,,,,
mistikumra_boiled,03_0043,"Pumpkin, boiled (without salt)",মিষ্টি কুমড়া,meesti kumra|mishti kumra|misti khumra|misti koomra|misti kumraa|meestikumra|mishtikumra|misti kumra|mistikhumra|mistikoomra|mistikumraa|mysti kumra|mistikumra|mystikumra|poompkin|pumpkeen|pumpkhin|pumpkin|pumpkyn|khumra|koomra|kumraa|kumra,vegetable,29,2.2,0.5,2.1,3.8,1 bowl,100,medium,,yes,,,,
badhakopi_boiled,03_0034,"Cabbage, boiled (without salt)",বাঁধাকপি,baandhakopi|bandhakhopi|bandhakopee|baadhakopi|badhakhopi|badhakopee|bandhakopi|bandhakopy|badhakopi|badhakopy|caabbage|cabbaghe|chabbage|cabbage,vegetable,27,1.7,0.4,2.9,2.8,1 bowl,100,low,,yes,,,,
fulkopi_boiled,03_0036,"Cauliflower, boiled (without salt)",ফুলকপি,caauliflower|caooliflower|cauleeflower|chauliflower|cauliflower|caulyflower|phoolkopi|phulkhopi|phulkopee|foolkopi|fulkhopi|fulkopee|phulkopi|phulkopy|fulkopi|fulkopy,vegetable,28,2.7,0.3,2.7,2.1,1 bowl,100,low,,yes,,,,
gajor_boiled,03_0035,"Carrot, boiled (without salt)",গাজর,caarrot|charrot|carrot|gaajar|gaajor|ghajar|ghajor|gajar|gajor|gazar|gazor,vegetable,43,1.1,0.3,7.3,3.1,1 bowl,100,medium,,yes,,,,
gajor_raw,03_0008,"Carrot, raw",কাঁচা গাজর,kaacha gajor|kacha ghajor|kachha gajor|khacha gajor|kacha gajor|kacha gazor|raaw carrot|raw charrot|kaca gajor|raw carrot,vegetable,34,0.9,0.3,6.0,2.6,1 medium,80,medium,,yes,,,,
mula_boiled,03_0044,"Radish, boiled (without salt)",মুলা,raadish|radeesh|radishh|radish|radysh|moola|moolo|mulaa|radis|mula|mulo,vegetable,24,1.2,0.1,3.3,2.1,1 bowl,100,low,,yes,,,,
shalgom,03_0032,"Turnip, raw",শালগম,shaalgam|shaalgom|shalgham|shalghom|shhalgam|shhalgom|shalgam|shalgom|toornip|turneep|salgam|salgom|turnip|turnyp,vegetable,26,1.1,0.2,4.1,1.8,1 bowl,100,low,,yes,,,,
borboti_boiled,03_0037,"Cowpea, boiled (without salt)",বরবটি,long beaan|longh bean|long bean|borbaati|borbatee|borbotee|borbati|borbaty|borboti|borboty|chowpea|cowpeaa|cowpea,vegetable,40,3.1,0.4,3.0,6.3,1 bowl,100,low,,yes,,,,
shim,03_0003,"Bean, seeds and pods, raw",শিম,shheem|beaan|sheem|shhim|bean|seem|shim|shym|sim,vegetable,29,2.4,0.1,2.5,4.3,1 bowl,100,low,,yes,,,,
motorshuti,03_0026,"Peas, green, raw",মটরশুঁটি,motor shhuti|motor shooti|motor shutee|ghreen peas|green peaas|green peash|motor shuti|motor shuty|motorshhuti|motorshooti|motorshutee|green peas|motor suti|motorshuti|motorshuty|grin peas|motorsuti,vegetable,91,7.0,0.4,12.5,5.1,1 bowl,100,low,,yes,,,,
kancha_kola_boiled,03_0042,"Plantain, boiled (without salt)",কাঁচা কলা,kaancha kola|kanchha kola|khancha kola|kaacha kola|kachha kola|kancha kola|khacha kola|kacha kola|kanca kola|kaca kola|plaantain|plantaeen|plantain|plantayn,vegetable,76,1.9,0.3,15.2,2.3,1 piece,100,medium,,yes,,,,
kancha_pepe_boiled,03_0041,"Papaya, unripe, boiled (without salt)",কাঁচা পেঁপে,ghreen papaya|green paapaya|green papaia|green papaya|kaancha pepe|kanchha pepe|khancha pepe|grin papaya|kaacha pepe|kachha pepe|kancha pepe|khacha pepe|kacha pepe|kanca pepe|kaca pepe,vegetable,32,0.8,0.1,6.1,1.6,1 bowl,100,low,,yes,,,,
paka_tomato,03_0031,"Tomato, red, ripe, raw",পাকা টমেটো,paaka tomato|pakha tomato|paka tomato|tomaato|tomato,vegetable,16,1.1,0.2,1.4,1.7,1 medium,80,low,,yes,,,,
kancha_tomato,03_0030,"Tomato, green, raw",কাঁচা টমেটো,kaancha tomato|kanchha tomato|khancha tomato|ghreen tomato|green tomaato|kancha tomato|green tomato|kanca tomato|grin tomato,vegetable,23,1.9,0.2,2.5,1.7,1 medium,80,low,,yes,,,,
shosha,03_0012,"Cucumber, peeled, raw",শসা,chucumber|coocumber|cucumber|shhosha|shoshaa|kheera|khhira|khiraa|shhosa|shosaa|shosha|khira|khyra|shosa|sosha|kira|sosa,vegetable,17,0.8,0.1,2.9,0.7,1 medium,100,low,,yes,,,,
piaj,03_0024,"Onion, raw",পেঁয়াজ,oneeon|peyaaj|onion|onyon|peeaj|peiaj|peyaj|peyaz|piaaj|piaj|piaz|pyaj,vegetable,59,1.4,0.1,12.2,1.9,1 medium,60,medium,,yes,,,,
rosun,03_0014,"Garlic, raw",রসুন,gaarlic|garleec|garlich|gharlic|roshhun|roshoon|garlic|garlyc|roshun|rosoon|rosun,vegetable,147,6.9,0.6,27.6,2.1,3 cloves,10,low,,yes,,,,
kancha_morich,03_0010,"Chilli, green, with seeds, raw",কাঁচা মরিচ,kaancha morich|kancha moreech|kanchha morich|khancha morich|ghreen chilli|green cheelli|green chhilli|kaacha morich|kacha moreech|kachha morich|kancha morich|kancha morych|khacha morich|green chilli|green chylli|kacha morich|kacha morych|kanca morich|green cilli|grin chilli|kaca morich,vegetable,45,2.8,0.1,5.9,4.7,2 pieces,10,low,,yes,,,,
sajna_data,03_0013,"Drumstick, pods, raw",সজনে ডাটা,saajna data|shajna data|shojne data|sojne daata|droomstick|drumshtick|drumsteeck|drumstichk|drumstickh|sajna data|sazna data|sojne data|sozne data|drumstick|drumstyck,vegetable,43,2.9,0.2,5.1,4.8,1 bowl,100,low,,yes,,,,
beet,03_0004,"Beet root, red, raw",বিট,beetroot|beetrut|bitroot|beet|bit,vegetable,46,2.0,0.1,7.9,2.8,1 bowl,100,medium,,yes,,,,
data_shobji,03_0001,"Amaranth, stem, raw",ডাটা,aamaranth stem|amaranth shtem|amaranth stem|daata shobji|data shhobji|data shobjee|data shobji|data shobjy|data shobzi|data sobji|daata|data,vegetable,21,0.9,0.1,3.7,1.2,1 bowl,100,low,,yes,,,,
palong_shak_boiled,04_0035,"Spinach, boiled (without salt)",পালং শাক,paalong shak|palong shakh|palong shhak|palongh shak|paalon shak|paalongshak|palon shakh|palon shhak|palong shak|palonghshak|palongshakh|palongshhak|palon shak|palong sak|palongshak|palon sak|palongsak|shpinach|speenach|spinaach|spinachh|paalong|palongh|spinach|spynach|palong|spinac,leafy vegetable,47,5.4,0.9,1.6,5.3,1 bowl,100,low,kidney_caution,yes,,,,
lal_shak_boiled,04_0032,"Red amaranth leaves, boiled (without salt)",লাল শাক,red aamaranth|red amaranth|laal shaak|lal shaakh|lal shhaak|laal shak|lal shaak|lal shakh|lal shhak|laalshak|lal saak|lal shak|lalshakh|lalshhak|lal sak|lalshak|lalsak,leafy vegetable,37,5.3,0.4,0.6,5.0,1 bowl,100,low,,yes,,,,
data_shak_boiled,04_0033,"Green amaranth leaves, boiled (without salt)",ডাটা শাক,shobuj data shak|sobooj data shak|sobuj daata shak|sobuj data shakh|ghreen amaranth|green aamaranth|sobuj data shak|sobuz data shak|green amaranth|sobuj data sak|grin amaranth|daata shak|data shakh|data shhak|data shak|data sak,leafy vegetable,30,2.3,0.3,1.7,5.1,1 bowl,100,low,,yes,,,,
notay_shak_boiled,04_0034,"Slender amaranth leaves, boiled (without salt)",নটে শাক,notaay shak|notay shakh|notay shhak|notai shak|notay shak|note shaak|note shakh|note shhak|notay sak|note shak|note sak|notaay|notai|notay,leafy vegetable,55,4.8,0.6,5.1,5.1,1 bowl,100,low,,yes,,,,
pui_shak_boiled,04_0036,"Indian spinach, boiled (without salt)",পুঁই শাক,eendian spinach|indiaan spinach|indian shpinach|indian spinachh|indian spinach|yndian spinach|indian spinac|pooin shak|pueen shak|puin shaak|puin shakh|puin shhak|pooi shak|puee shak|pui shaak|pui shakh|pui shhak|puin shak|puyn shak|pui shak|puin sak|puy shak|pui sak,leafy vegetable,33,3.1,0.4,2.8,2.9,1 bowl,100,low,,yes,,,,
lau_shak,04_0010,"Bottle gourd leaves, raw",লাউ শাক,laau shaak|laoo shaak|lau shaakh|lau shhaak|laau shak|laoo shak|lau shaak|lau shakh|lau shhak|lau saak|lau shak|lau sak,leafy vegetable,26,2.5,0.6,0.6,4.4,1 bowl,100,low,,yes,,,,
kolmi_shak,04_0030,"Water spinach, raw",কলমি শাক,waater spinach|water shpinach|water speenach|water spinachh|water spinach|water spynach|kholmee shak|kolmee shaak|kolmee shhak|water spinac|kholmi shak|kolmee shak|kolmi shaak|kolmi shhak|kolmee sak|kolmi shak|kolmy shak|kolmi sak,leafy vegetable,43,1.9,0.4,6.0,3.7,1 bowl,100,low,,yes,,,,
pat_shak,04_0021,"Jute leaves, raw",পাট শাক,joote leaves|jute leaaves|jute leabhes|jute leavesh|jute leaves|zute leaves|paaat shak|paat shakh|paat shhak|paat shak|pat shakh|pat shhak|paat sak|pat shak|pat sak,leafy vegetable,32,2.9,0.3,1.7,5.8,1 bowl,100,low,,yes,,,,
mula_shak,04_0023,"Radish leaves, raw",মুলা শাক,raadish leaves|radeesh leaves|radish leabhes|radishh leaves|radish leaves|radysh leaves|radis leaves|moola shak|moolo shak|mula shakh|mula shhak|mulaa shak|mulo shaak|mulo shakh|mulo shhak|mula shak|mulo shak|mula sak|mulo sak,leafy vegetable,32,1.8,0.7,3.4,2.6,1 bowl,100,low,,yes,,,,
sajna_pata,04_0017,"Drumstick leaves, raw",সজনে পাতা,moreenga leaves|moringa leabhes|moringa leavesh|moringaa leaves|moringha leaves|moringa leaves|morynga leaves|saajna pata|shajna pata|shojne pata|sojne paata|sajna pata|sazna pata|sojne pata|sozne pata,leafy vegetable,72,6.7,1.8,4.6,5.2,1 bowl,100,low,,yes,,,,
kochu_shak,04_0014,"Colocasia leaves, green, raw",কচু শাক,khochu shaak|kochhu shaak|kochoo shaak|kochu shaaak|kochu shhaak|taaro leaves|taro leabhes|taro leavesh|khochu shak|kochhu shak|kochoo shak|kochu shaak|kochu shhak|taro leaves|kochu saak|kochu shak|kocu shaak|kochu sak|kocu shak,leafy vegetable,51,4.0,1.1,4.4,3.7,1 bowl,100,low,kidney_caution,yes,,,,
methi_shak,04_0019,"Fenugreek leaves, raw",মেথি শাক,fenoogreek leaves|fenughreek leaves|fenugreek leaaves|fenugreek leabhes|fenugreek leavesh|fenugreekh leaves|fenugreek leaves|fenugrik leaves|methee shak|methi shaak|methi shakh|methi shhak|methi shak|methy shak|methi sak|methee|methi|methy,leafy vegetable,50,4.4,0.9,5.0,2.1,1 bowl,100,low,,yes,,,,
kumra_shak,04_0022,"Pumpkin leaves, raw",কুমড়া শাক,meesti kumra shak|mishti kumra shak|misti khumra shak|misti koomra shak|misti kumraa shak|misti kumra shak|mysti kumra shak|misti kumra sak|khumra shak|koomra shak|kumra shhak|kumraa shak|kumra shak|kumra sak,leafy vegetable,29,2.4,0.4,2.8,2.1,1 bowl,100,low,,yes,,,,
misti_alu_shak,04_0026,"Sweet potato leaves, raw",মিষ্টি আলু শাক,shweet potato leaves|sweet potaato leaves|sweet potato leabhes|sweet potato leaves|swit potato leaves|meesti alu shak|mishti alu shak|misti aalu shak|misti aloo shak|misti alu shakh|misti alu shak|mysti alu shak|misti alu sak,leafy vegetable,45,4.0,0.8,1.8,7.3,1 bowl,100,low,,yes,,,,
borboti_pata,04_0015,"Cowpea leaves, raw",বরবটি পাতা,chowpea leaves|cowpea leabhes|cowpea leavesh|cowpeaa leaves|borbotee pata|borboti paata|cowpea leaves|borboti pata|borboty pata,leafy vegetable,34,3.4,0.7,1.7,3.6,1 bowl,100,low,,yes,,,,
helencha_shak,04_0031,"Watercress, raw",হেলেঞ্চা শাক,helencha shakh|helencha shhak|helenchaa shak|helenchha shak|helencha shak|helenca shak|helencha sak|waatercress|waterchress|watercreshs|watercress|helenchaa|helenchha|helencha|helenca,leafy vegetable,49,2.0,0.5,8.8,0.5,1 bowl,100,low,,yes,,,,
bok_ful_shak,04_0001,"Agathi leaves, raw",বক ফুল শাক,bok fool shak|bok ful shaak|bok ful shhak|bokh ful shak|bok ful shak|bok ful sak|aagathi|agathee|aghathi|agathi|agathy,leafy vegetable,88,8.4,1.8,5.7,7.9,1 bowl,100,low,,yes,,,,
